问题,答案,选项
1 、下列有关使用漏电保护器的说法，哪种正确?,A,A、漏电保护器既可用来保护人身安全，还可用来对低压系统或设备的对地绝缘状况起到监督作用。,B、漏电保护器安装点以后的线路不可对地绝缘。,C、漏电保护器在日常使用中不可在通电状态下按动实验按钮来检验其是否灵敏可靠。
60 、金属钠着火可采用的灭火方式有,A,A、干砂,B、水,C、湿抹布,D、泡沫灭火器
61 、对铸件进行落砂清理时，应注意（　）,C,A、直接伸手测试铸件温度,B、直接伸手测试型砂温度,C、戴好防护手套再进行落砂清理
62 、民用照明电路电压是（ ）。,C,A、直流电压220伏,B、交流电压280伏,C、交流电压220伏
63 、室温较高时，有些试剂如氨水等，打开瓶塞的瞬间很易冲出气液流，应先如何处理，再打开瓶塞？,C,A、先将试剂瓶在热水中浸泡一段时间,B、振荡一段时间,C、先将试剂瓶在冷水中浸泡一段时间,D、先将试剂瓶颠倒一下
64 、离心操作时，为防液体溢出，离心管中样品装量不能超过离心管体积的多少？,A,A、2/3,B、1/3,C、1/2,D、3/4
65 、电气设备的外壳应有什么防护措施?,B,A、无,B、保护性接地或接零,C、防锈漆,D、绝缘
66 、玻璃（细菌）滤器使用后，立即用以下哪种溶液抽滤一次，当洗涤液尚未滤尽时，将滤器浸入上述洗涤液中浸泡48 h（滤片两面均应接触洗涤液）。,C,A、1%的盐酸,B、重铬酸钾洗涤液,C、浓硫酸-硝酸钠洗涤液,D、氢氧化钠或碳酸氢钠稀溶液
67 、强电实验时，实验人员必须几人以上？,B,A、1,B、2,C、3,D、4
68 、下列不属于易燃液体的是,A,A、5%稀硫酸,B、乙醇,C、苯,D、二硫化碳
69 、电动工具的电源引线，其中黄绿双色线应作为（ ）线使用。,C,A、相,B、工作零,C、保护接地
70 、实验室各种管理规章制度应该：,A,A、上墙或便于取阅的地方,B、存放在档案柜中,C、由相关人员集中保管,D、保存在计算机内
71 、二级生物安全防护实验室结构和设施、安全操作规程、安全设备适用于,B,A、一级以外的实验内容,B、实验室对人或环境具有中等潜在危害的微生物
72 、在遇到高压电线断落地面时，导线断落点（ 　）米内，禁止人员进入,B,A、10,B、20,C、30
"73 、发生危险化学品事故后,应该向（）方向疏散。",B,A、下风,B、上风,C、顺风
74 、下列那一项不是发生爆炸的基本因素,C,A、温度,B、压力,C、湿度,D、着火源
75 、工业激光器以CO2和Nd：YAG为主。为保证工作人员的安全，在激光器运行时应与其他工作场地( )并做出标志。加工过程必须佩戴防护用具，如( )等，以免产生（ ）等情况。,B,A、合并…手套和工作服…划伤,B、隔离…面罩或眼镜…灼伤
76 、电动工具的电源引线，其中黄绿双色线应作为（ ）线使用。,C,A、相,B、工作零,C、保护接地
77 、车削开始前要进行极限位置检查的原因是（　）,A,A、防止卡盘与刀架或车刀相撞,B、防止工件伸出长度不够,C、防止工件因装卡不正而跳动
78 、化学药品库中的一般药品应如何分类,B,A、按生产日期分类,B、按有机、无机两大类，有机试剂再细分类存放,C、随意摆放,D、按购置日期分类
79 、移动式电动工具及其开关板（箱）的电源线必须采用（　）。,C,A、双层塑料铜芯绝缘导线,B、双股铜芯塑料软线,C、铜芯橡皮绝缘护套或铜芯聚氯乙烯绝缘护套软线
80 、稀硫酸溶液的正确制备方法是,B,A、在搅拌下，加水于浓硫酸中,B、在搅拌下，加浓硫酸于水中,C、水加于浓硫酸，或浓硫酸加于水都无所谓,D、水与浓硫酸两者一起倒入容器混合
81 、实验大楼因出现火情发生浓烟已穿入实验室内时，以下哪种行为是正确的？（ ）,A,A、沿地面匍匐前进，当逃到门口时，不要站立开门。,B、打开实验室门后不用随手关门。
82 、涉及有毒试剂的操作时，应采取的保护措施包括,D,A、佩戴适当的个人防护器具,B、了解试剂毒性，在通风橱中操作,C、做好应急救援预案,D、以上都是
83 、关于使用生物实验材料注意事项说法错误的是：,C,A、微生物、动物组织、细胞培养液、体液等生物材料可能存在细菌和病毒感染的潜伏性危险，处理时必须谨慎、小心,B、被微生物等污染的玻璃器皿在清洗或高压灭菌前，应先浸泡在适当的消毒液中,C、在缺乏高压灭菌设备时，可煮沸消毒被污染的物品,D、做完实验后，必须用肥皂、洗涤剂或消毒液充分洗净双手
84 、在易燃易爆场所不能穿（ ）。,C,A、布鞋,B、胶鞋,C、带钉鞋
85 、长期搁置不用的手持电动工具，在使用前必须测量绝缘电阻，要求手持电动工具带电部分与外壳之间绝缘电阻不低于多少MΩ？,B,A、2,B、0.5,C、1,D、10
86 、请从下列选项中选择万一发生电气火灾后首先应该采取的第一条措施。,B,A、打电话报警。,B、切断电源。,C、扑灭明火。,D、保护现场，分析火因，以便采取措施，杜绝隐患。
87 、箱式电阻炉的外壳必须可靠接地，在操作前必须进行检查，以免发生（ ）,B,A、设备安全事故,B、人身触电事故,C、不能正常供电
88 、发生触电事故的危险电压一般是?多少伏以上,C,A、24,B、26,C、65,D、110
89 、在火灾逃生方法中，以下不正确的是：,C,A、用湿毛巾捂着嘴巴和鼻子,B、弯着身子快速跑到安全地点,C、躲在床底下，等待消防人员救援,D、马上从最近的消防通道跑到安全地点
90 、开展宗教活动应在哪里进行？（ ）,A,A、宗教活动（包括传教）应在宗教场所（如教堂）等指定的场所进行。,B、宪法规定“宗教信仰自由”，所以宗教活动（包括传教）可以在学校和公共场所进行。
"91 、""在需要带电操作的低电压电路实验时，下列哪种是正确的？",B,A、双手操作比单手操作安全,B、单手操作比双手操作安全,C、单手操作和双手操作一样安全,D、操作与空气湿度有关
92 、预防电击（触电）的一条重要措施是用电设备的金属外壳要有效接地。请从下列选项中选择可靠的接地点。,D,A、单相供电的2根线分别称为火线和地线，选择其中的地线接地。,B、三相供电中的中性点电压应该为零，可以选择这个中性点来接地。,C、实验室内的自来水管（暖气管）是埋设于地下的金属管相连的，可用来接地。,D、专门埋设地下、保证接地电阻很小专用地线。,E、避雷针的接地线。
93 、在钻床上钻削小工件时，是否可以直接用手拿,B,A、可以,B、不可以,C、方便拿时可以,D、不方便拿时不可以
94 、以下哪种酸具有强腐蚀性，使用时须做必要防护,A,A、硝酸,B、硼酸,C、稀醋酸
95 、湿热灭菌是利用热的作用来杀菌，通常在( )中进行,A,A、高压蒸汽灭菌器,B、高温烘箱,C、高温水浴锅
96 、易燃液体加热时可以（ ）。,C,A、用电炉加热，有人看管,B、用电热套加热可不用人看管,C、用水浴加热，并有人看管,D、用水浴加热不用人看管
97 、配电盘（箱）、开关、变压器等各种电气设备附近不得（ ）。,C,A、设放灭火器,B、设置围栏,C、堆放易燃、易爆、潮湿和其他影响操作的物件
98 、大型仪器一般都使用计算机进行控制。计算机与仪器之间的数据传输线在何种情况下进行装卸,B,A、任意时刻,B、在仪器及计算机电源关闭时,C、在仪器处于工作状态时,D、在计算机处于工作状态时
99 、以下对放射性垃圾的安全管理不正确的是（ ）。,A,A、允许非放射性垃圾混入放射性垃圾,B、将放射性垃圾放入专用容器收集、包装、储存，由专业部门统一回收处理,C、严禁放射性垃圾放入非放射性垃圾,D、放射性垃圾和非放射性垃圾必须分开放置
100 、一般将闪点在25℃以下的化学试剂列入易燃化学试剂，它们多是极易挥发的液体。以下哪种物质不是易燃化学试剂,C,A、乙醚,B、苯,C、甘油,D、汽油
101 、以下符合急救与防护“四先四后”原则的是：,A,A、先抢后救,B、先轻后重,C、先缓后急,D、先病后伤
102 、干粉灭火器适用于：,D,A、电器起火,B、可燃气体起火,C、有机溶剂起火,D、以上都是
103 、（）不是影响混合物爆炸极限的因素。,B,A、混合物的温度、压力,B、混合物的多少,C、混合物的含氧量,D、容器的大小
"104 、新玻璃（细菌）滤器应在流水中彻底洗涤，然后放在( 　)中浸泡数小时,最后用流水洗涤",A,A、1%的盐酸,B、重铬酸钾洗涤液,C、市售洗涤剂,D、氢氧化钠或碳酸氢钠稀溶液
105 、使用办公自动化设备时，应当遵守下列规定（ ）。,D,A、不得在没有保密措施的传真机、计算机上传输或者处理涉及国家秘密的信息,B、使用计算机信息网络国际联网传输信息不得涉及国家秘密,C、未经原确定密级的国家机关、单位批准，不得复制国家秘密的信息；不得使用手机、无线话筒传达涉及国家秘密的信息,D、以上都是
106 、每次进行体育锻炼的时间一般以30分钟至（ ）为宜,A,A、1小时,B、2小时,C、3小时,D、4小时
107 、在分子生物学、遗传学、基因工程等实验中，哪种常见药品是致癌物质？实验中不能让药品接触到皮肤上。,C,A、单体丙烯酰胺,B、甲叉双丙稀酰胺,C、溴化乙锭（EB）
108 、一旦出现实验动物生物安全性的问题，首先必须向学校（ ）报告,D,A、保卫处,B、校医院,C、校长办公室,D、实验动物突发事件应急小组
109 、在易燃易爆场所不能穿（ ）。,C,A、布鞋,B、胶鞋,C、带钉鞋
110 、三线电缆中的红线代表（ ）。,B,A、零线,B、火线,C、地线
111 、高压蒸汽灭菌是对实验材料进行灭菌的最有效和最可靠的方法，确保正确灭菌的条件是？,C,A、121℃、灭菌10 分钟,B、100℃、灭菌30 分钟,C、121℃、灭菌15 分钟,D、115℃、灭菌15 分钟
112 、在冲压过程中，装卸工件时，应注意什么事项,A,A、脚应离开踏杆,B、脚可以一直搭在踏杆上，只要不用力,C、脚可以时而踩在踏杆，时而离开踏杆,D、不用注意
113 、眼睛被化学品灼伤后，首先采取的正确方法是：,B,A、点眼药膏,B、立即开大眼睑，用清水冲洗眼睛,C、马上到医院看急诊
114 、关于生物安全柜的操作，正确的说法是？,D,A、工作前和工作后，应至少让生物安全柜工作5min来完成“净化”过程，亦即应留出将污染空气排出生物安全柜的时间,B、操作者在双臂进出生物安全柜时，应垂直缓慢地出入前面的开口，以维持操作面开口处气流的完整性,C、在手和双臂伸入到生物安全柜中大约1min，即让生物安全柜调整完毕，且让里面的层流空气净化后，才可以进行操作,D、以上都对
115 、甲醛属于（ ）级别的毒性物质,C,A、剧毒,B、高毒,C、中等毒性,D、低毒
116 、废弃的有害固体药品，应（ ）。,C,A、不经处理解毒后就丢弃在生活垃圾处,B、经处理解毒后，才可丢弃在生活垃圾处,C、收集起来由专业公司处理
117 、超级恒温水浴使用时错误的操作是,C,A、超级恒温水浴内应使用去离子水（或纯净水）,B、恒温水浴内去离子水未加到“正常水位”严禁通电，防止干烧,C、可以使用自来水
118 、对常用的又是易制毒的试剂，应：,C,A、放在试剂架上,B、放在抽屉里，并由专人管理,C、锁在实验室的试剂柜中，并由专人管理
119 、闪点越低，越容易燃烧。闪点在－4℃以上的溶剂是,A,A、甲醇、乙醇、乙腈,B、乙酸乙酯、乙酸甲酯,C、乙醚、石油醚,D、汽油、丙酮、苯
120 、使用钻床钻孔时，工件是否需要牢固可靠地装夹,B,A、不需要,B、需要,C、大的工件需要,D、小的工件不需要
121 、下列气体须在通风橱内进行操作的是,D,A、硫化氢,B、氟化氢,C、氯化氢,D、以上都是
122 、CO是什么味？,C,A、酸味,B、烂苹果味,C、无味,D、臭鸡蛋味
123 、以下药品按毒性从大到小排序正确的是,B,A、甲醛、苯、苯乙烯、丙酮,B、苯、甲醛、甲苯、丙酮,C、甲苯、甲醛、苯、丙酮,D、苯、丙酮、甲苯、甲醛
124 、清洁分光光度计比色皿的透光面可以用(　 )擦拭,C,A、纱布,B、毛刷,C、镜头纸,D、滤纸
125 、以下药品（试剂）哪个应放在防爆冰箱里保存,A,A、甲基丙烯酸甲酯,B、乙醚,C、苯
126 、起模针及气孔针在使用后，应注意,B,A、针尖朝上放入工具箱内,B、针尖朝下放入工具箱内,C、插入型砂堆中
127 、不会发生爆炸的是（　）。,B,A、亚麻粉尘,B、砂尘,C、面粉
128 、安全阀的作用是怎样实现的,A,A、安全阀是通过作用在阀瓣上两个力的平衡来使它开启或关闭，实现防止压力容器超压的问题,B、安全阀是通过爆破片破裂时泄放容器的压力，实现防止压力容器的压力继续上升的问题
129 、扑灭电器火灾不宜使用（ ）。,C,A、二氧化碳灭火器,B、干粉灭火器,C、泡沫灭火器,D、灭火砂
130 、使用起重设备时，起升重量不得超过设备( )。,B,A、承载强度,B、限定的起重量
131 、以下关于二级生物安全防护实验室的注意事项中，错误的是：,C,A、必须使用生物安全柜等专用安全设备,B、工作人员在试验时应穿工作服，戴防护眼镜,C、工作人员手上只有在皮肤破损或皮疹时，才应戴手套,D、必须具备喷淋装置、洗眼器等应急防护设施
132 、严禁在化验室内存放总量大于（　）的瓶装易燃液体,C,A、10L,B、30L,C、20L,D、25L
133 、在体育锻炼时或体育锻炼后即刻，立即测10秒钟的心率和脉搏，就一般体育锻炼者来说，运动后即刻的心率最好不要超过多少次/10秒,B,A、20次,B、25次,C、30次,D、35次
134 、万一发生电气火灾，首先应该采取的第一条措施是：,B,A、打电话报警,B、切断电源,C、扑灭明火,D、求援
135 、以下对放射性垃圾的安全管理不正确的是（ ）。,A,A、允许非放射性垃圾混入放射性垃圾,B、将放射性垃圾放入专用容器收集、包装、储存，由专业部门统一回收处理,C、严禁放射性垃圾放入非放射性垃圾,D、放射性垃圾和非放射性垃圾必须分开放置
136 、如在液氮罐中保存安瓿瓶，应将其存放在( 　)中,A,A、液氮的气相,B、液氮
137 、氯仿属于（ ）级别的毒性物质,C,A、剧毒,B、高毒,C、中等毒性,D、低毒
138 、眼睛被化学品灼伤后，首先采取的正确方法是,B,A、点眼药膏,B、立即开大眼睑，用清水冲洗眼睛,C、马上到医院看急诊
139 、钳工工作时，是否可以戴手套进行工作,A,A、不可以,B、可以,C、随便,D、按需要
140 、强氧化剂与有机物、镁粉、铝粉、锌粉可形成爆炸性混合物，以下哪种物质是安全的,C,A、H2O2,B、NH4NO3,C、K2SO4,D、高氯酸及其盐
141 、在冲压过程中，装卸工件时，应注意什么事项,A,A、脚应离开踏杆,B、脚可以一直搭在踏杆上，只要不用力,C、脚可以时而踩在踏杆，时而离开踏杆,D、不用注意
142 、为防止静电火花引起事故，凡是用来加工、贮存、运输各种易燃气、液、粉体的设备金属管、非导电材料管都必须（ ）。,C,A、有足够大的电阻,B、有足够小的电阻,C、可靠接地
143 、火灾发生时，湿毛巾折叠8层为宜，其烟雾浓度消除率可达（ ）。,B,A、0.4,B、0.6,C、0.8,D、0.95
144 、傍晚锻炼结束与睡觉的间隔时间要在（ ）以上，否则，会影响夜间的休息,B,A、30小时,B、1小时,C、1.5小时,D、2小时
145 、在有电阻、电容、电感的电路中，电源电压是几十伏，电容或电感的电压可以是：,C,A、几十伏,B、不超过电源电压,C、超过百伏,D、不会触死人
146 、使用两根绳扣吊装时，绳扣的夹角大于（ ）度时，应采取防止滑钩措施？起吊重物有棱角切面，绳扣应加衬垫，以免损坏绳扣,D,A、110,B、90,C、210,D、100
147 、身上着火，最好的做法是：,A,A、就地打滚或用水冲,B、奔跑,C、大声呼救,D、边跑边脱衣服
148 、活泼金属应存放在何处,C,A、密封容器中并放入冰箱,B、密封容器中并放入干燥器,C、泡在煤油里密封避光保存,D、密封容器中并放入密闭柜子内
149 、倾倒液体试剂时，瓶上标签应朝,A,A、上方,B、下方,C、左方,D、右方
150 、湿热灭菌是利用热的作用来杀菌，通常在什么设备中进行？,A,A、高压蒸汽灭菌器,B、烘箱,C、高温水浴锅,D、微波炉
151 、用剩的活泼金属残渣的正确处理方法是,B,A、连同溶剂一起作为废液处理,B、在氮气保护下，缓慢滴加乙醇，进行搅拌使所有金属反应完毕后，整体作为废液处理,C、将金属取出暴露在空气中使其氧化完全,D、以上都对
152 、使用手持电动工具时，下列注意事项哪个正确？,B,A、使用万能插座,B、使用漏电保护器,C、身体或衣服潮湿
153 、配电盘（箱）、开关、变压器等各种电气设备附近不得（ ）。,C,A、设放灭火器,B、设置围栏,C、堆放易燃、易爆、潮湿和其他影响操作的物件
154 、安全电压是指保证不会对人体产生致命危险的电压值，工业中使用的安全电压是多少以下？,B,A、25V,B、36V,C、50V,D、110V
155 、长期在高频电磁场作用下，操作者会有（　）的不良反应。,C,A、呼吸困难,B、神经失常,C、疲劳无力
156 、若某种废液被倒入回收桶后会发生危险，则应（ ）。,C,A、直接向下水口倾倒,B、随垃圾一起丢弃,C、单独暂存于容器中，并贴上标签
157 、三相电闸闭合后或三相空气开关闭合后，三相电机嗡嗡响、不转或转速很慢。这是为什么？,C,A、短路。,B、开路。,C、缺相。
158 、乙醇属于（　）级别的毒性物质,D,A、高毒,B、中等毒性,C、低毒,D、微毒
159 、一般无特殊情况，每个人的晨脉是相对稳定的。如果运动锻炼后，第二天晨脉不变，说明身体状况良好或运动量合适；如果体育锻炼后，第二天的晨脉较以前增加多少次/分以上，说明前一天的活动量偏大，应适当调整运动量,B,A、2次,B、5次,C、8 次,D、12次
160 、用剩的活泼金属残渣应,B,A、连同溶剂一起作为废液处理,B、缓慢滴加乙醇将所有金属反应完毕后，整体作为废液处理,C、将金属取出暴露在空气中使其氧化完全
161 、领取及存放化学药品时，以下说法错误的是：,D,A、确认容器上标示的中文名称是否为需要的实验用药品,B、学习并清楚化学药品危害标示和图样。,C、化学药品应分类存放。,D、有机溶剂，固体化学药品，酸、碱化合物可以存放于同一药品柜中
"162 、发生危险化学品事故后,应该向（）方向疏散。",B,A、下风,B、上风,C、顺风
163 、保证电气检修人员人身安全最有效的措施是（　）。,C,A、悬挂标示牌,B、放置遮栏,C、将检修设备接地并短路
164 、紫外线消毒方便实用，紫外灯可以是固定式，也可以是活动式的，但离被照射物不应超过多少距离？,A,A、1.2m,B、2 m,C、2.2 m,D、3.2m
165 、干粉灭火器适用于：,D,A、电器起火,B、可燃气体起火,C、有机溶剂起火,D、以上都是
166 、扑救易燃液体火灾时，应（ ）。,A,A、用灭火器,B、用水泼,C、扑打
167 、进行照明设施的接电操作，应采取的防触电措施为（ ）。,B,A、湿手操作,B、切断电源,C、站在金属登子或梯子上,D、戴上手套
168 、根据卫生部规定，人间传染的病原微生物按危害程度可分为四类，其中哪类危害程度最高,A,A、第一类,B、第二类,C、第三类,D、第四类
169 、容器中的溶剂或易燃化学品发生燃烧应如何处理,A,A、用灭火器灭火或加砂子灭火,B、加水灭火,C、用不易燃的瓷砖、玻璃片盖住瓶口,D、用湿抹布盖住瓶口
"170 、为防止肌肉痉挛，夏季进行长时间的运动时，要注意补充（ ）；冬季锻练时,要注意保暖",A,A、盐水,B、水,C、钙,D、糖
